fighter_url,first_name,last_name,nickname,height_inches,weight_lbs,reach_inches,stance,wins,loss,draws,belt
http://www.ufcstats.com/fighter-details/de62052b2ede65ba,Matt,Arroyo,No Regard,70.0,170.0,72.0,Orthodox,3,3,0,False
http://www.ufcstats.com/fighter-details/61fb8098ccf81c7f,Antonio,Arroyo,,75.0,185.0,73.0,Orthodox,9,3,0,False
http://www.ufcstats.com/fighter-details/2dea80c069847321,Gilles,Arsene,,69.0,190.0,,Southpaw,1,1,0,False
http://www.ufcstats.com/fighter-details/91e3388e69060e69,Veta,Arteaga,,67.0,125.0,,,3,1,0,False
http://www.ufcstats.com/fighter-details/49f78022126bf4a4,Cesar,Arzamendia,Goku,71.0,155.0,,Orthodox,8,3,0,False
http://www.ufcstats.com/fighter-details/a373085066dbfb54,Teddy,Ash,Bear,73.0,185.0,73.0,Switch,14,5,0,False
http://www.ufcstats.com/fighter-details/b1d19449397541dc,Askar,Askarov,Bullet,66.0,125.0,67.0,Orthodox,12,0,1,False
http://www.ufcstats.com/fighter-details/9be6020024133293,Cyril,Asker,Silverback,72.0,247.0,74.0,Orthodox,9,4,0,False
http://www.ufcstats.com/fighter-details/06827d70c53ff0d9,Scott,Askham,,75.0,185.0,75.0,Southpaw,14,4,0,False
http://www.ufcstats.com/fighter-details/0b31f87be71ebbb1,Ben,Askren,Funky,71.0,170.0,73.0,Orthodox,19,2,0,False
http://www.ufcstats.com/fighter-details/399afbabc02376b5,Tom,Aspinall,,77.0,256.0,78.0,Orthodox,7,2,0,False
http://www.ufcstats.com/fighter-details/ff222167cce02919,Bruno,Assis,Brunao,74.0,185.0,,Orthodox,8,4,0,False
http://www.ufcstats.com/fighter-details/d0d7160824278840,Junior,Assuncao,,69.0,145.0,72.0,Orthodox,16,6,0,False
http://www.ufcstats.com/fighter-details/2f13e4020cea5b38,Raphael,Assuncao,,65.0,135.0,66.0,Orthodox,27,8,0,False
http://www.ufcstats.com/fighter-details/fd7acf42bd6e7e95,Bazigit,Atajev,Volk,73.0,230.0,,Orthodox,17,1,0,False
http://www.ufcstats.com/fighter-details/210935fd21670f6d,Rich,Attonito,The Raging Bull,70.0,170.0,72.0,Orthodox,10,5,0,False
http://www.ufcstats.com/fighter-details/55ee431411ccf07a,Olivier,Aubin-Mercier,The Canadian Gangster,69.0,155.0,70.0,Southpaw,11,5,0,False
http://www.ufcstats.com/fighter-details/196ed28337adc630,Pat,Audinwood,Awesomely Awesome,72.0,155.0,,Orthodox,11,2,1,False
http://www.ufcstats.com/fighter-details/04643fd03d9159cc,Marcus,Aurelio,Maximus,70.0,155.0,74.0,Orthodox,22,10,0,False
